editor_id,name
1,Katsushi Ikeuchi
2,Dieter Jaeger
3,Ranu Jung
4,Henk C. A. van Tilborg
5,Sushil Jajodia
6,Janglin Chen
7,Wayne Cranton
8,Mark Fihn
9,Edmund M. Clarke
10,Thomas A. Henzinger
11,Helmut Veith
12,Roderick Bloem
13,Sigrid Kelsey
14,Kirk St. Amant
15,Grzegorz Rozenberg
16,Arto Salomaa
17,Oded Maimon
18,Lior Rokach
19,William Sims Bainbridge
20,Mihail C. Roco
21,Rebecca Herold
22,Borko Furht
23,Claude Sammut
24,Geoffrey I. Webb
25,Phillip A. Laplante
26,Peter P. Stavroulakis
27,Mark Stamp 0001
28,Ankur Agarwal
29,Daniele Gianni
30,Andrea D'Ambrogio
31,Andreas Tolk
32,Ming-Yang Kao
33,Berthold Vcking
34,Helmut Alt
35,Martin Dietzfelbinger
36,Rdiger Reischuk
37,Christian Scheideler
38,Heribert Vollmer
39,Dorothea Wagner
40,Hossein Bidgoli
41,Roberto Tamassia
42,Sanguthevar Rajasekaran
43,John H. Reif
44,Azzedine Boukerche
45,Stephan Olariu
46,Albert Y. Zomaya
47,Sang Hyuk Son
48,Insup Lee 0001
49,Joseph Y.-T. Leung
50,Edoardo M. Airoldi
51,David M. Blei
52,Elena A. Erosheva
53,Stephen E. Fienberg
54,Mohammad Ilyas
55,Imad Mahgoub
56,Kenneth H. Rosen
57,John G. Michaels
58,Jonathan L. Gross
59,Jerrold W. Grossman
60,Douglas R. Shier
61,Burton Rosenberg
62,Jiacun Wang
63,Ishfaq Ahmad 0001
64,Sanjay Ranka
65,Sankar K. Pal
66,Alfredo Petrosino
67,Lucia Maddalena 0001
68,Munindar P. Singh
69,Henri Cohen
70,Gerhard Frey
71,Roberto Avanzi
72,Christophe Doche
73,Tanja Lange 0001
74,Kim Nguyen
75,Frederik Vercauteren
76,Dinesh P. Mehta
77,Sartaj Sahni
78,Paolo Bellavista
79,Antonio Corradi
80,Harold F. Tipton
81,Micki Krause
82,Constantine Stephanidis
83,Richard Zurawski
84,Teofilo F. Gonzalez
85,Charles J. Alpert
86,Sachin S. Sapatnekar
87,Kelly S. Hale
88,Kay M. Stanney
89,Paul A. Fishwick
90,Jacob E. Goodman
91,Joseph O'Rourke
92,Marco Aiello 0001
93,Ian Pratt-Hartmann
94,Johan van Benthem
95,David G. Schwartz
96,Dov Te'eni
97,Demetres D. Kouvatsos
98,Stan Z. Li
99,Anil K. Jain 0001
100,Marian Quigley
101,Yin Leng Theng
102,Schubert Foo
103,Dion Hoe-Lian Goh
104,Jin-Cheon Na
105,Benjamin W. Wah
106,Birgit Vogel-Heuser
107,Thomas Bauernhansl
108,Michael ten Hompel
109,John Wang
110,Juan Carlos Augusto
111,Michael Huch
112,Achilles Kameas
113,Julie Maitland
114,Paul J. McCullagh
115,Jean Roberts
116,Andrew Sixsmith
117,Reiner Wichert
118,Erik Blasch
119,Sai Ravela
120,Alex Aved
121,Pietro Michelucci
122,Janusz Kacprzyk
123,Witold Pedrycz
124,Samee U. Khan
125,Tuncer I. ren
126,Bernard P. Zeigler
127,John Domingue
128,Dieter Fensel
129,James A. Hendler
130,Aris Gkoulalas-Divanis
131,Claudio Bettini
132,Francesco Ricci 0001
133,Bracha Shapira
134,Rafael Mart
135,Panos M. Pardalos
136,Mauricio G. C. Resende
137,Otmar Scherzer
138,Christodoulos A. Floudas
139,Shoba Ranganathan
140,Michael Gribskov
141,Kenta Nakai
142,Christian Schnbach
143,Reda Alhajj
144,Jon G. Rokne
145,Max Mhlhuser
146,Iryna Gurevych
147,Amir Hossein Gandomi
148,Amir Hossein Alavi
149,Conor Ryan
150,Chang-Tsun Li
151,Arthur Tatnall
152,John Baillieul
153,Tariq Samad
154,Paul B. Kantor
155,Felix Brandt 0001
156,Vincent Conitzer
157,Ulle Endriss
158,Jrme Lang
159,Ariel D. Procaccia
160,Juan R. Rabual
161,Julin Dorado
162,Alejandro Pazos
163,Eni G. Njoku
164,Shashi Shekhar 0001
165,Hui Xiong 0001
166,Xun Zhou 0001
167,Shimon Y. Nof
168,David S. Doermann
169,Karl Tombre
170,Bruno Siciliano
171,Oussama Khatib
172,Shuvra S. Bhattacharyya
173,Ed F. Deprettere
174,Rainer Leupers
175,Jarmo Takala
176,Thomas Bck
177,Joost N. Kok
178,David A. Padua
179,Wai-Kai Chen
180,Miodrag Lovric
181,Soonhoi Ha
182,Jrgen Teich
183,Michael Gertz 0001
184,Ling Liu
185,M. Tamer zsu
186,Newton Lee
187,Sherif Sakr
188,Nitin Indurkhya
189,Fred J. Damerau
190,Robert A. Meyers
191,Frank van Harmelen
192,Vladimir Lifschitz
193,Bruce W. Porter
194,Francesca Rossi 0001
195,Peter van Beek
196,Toby Walsh
197,Michael Fisher 0001
198,Dov M. Gabbay
199,Llus Vila
200,Sebastiaan van Vlijmen
201,Arjan van Waveren
202,Paul Vriend
203,Goetz Graefe
204,Oscar Castillo 0001
205,Patricia Melin
206,Salvatore Greco
207,Ricardo Alberto Marques Pereira
208,Massimo Squillante
209,Ronald R. Yager
210,Kasthurirangan Gopalakrishnan
211,Siddhartha Kumar Khaitan
212,Soteris A. Kalogirou
213,Enrique Herrera-Viedma
214,Gabriella Pasi
215,Fabio Crestani
216,Alexander Mehler
217,Reinhard Khler
218,Bhanu Prasad 0001
219,Dimitar P. Filev
220,Gleb Beliakov
221,Weldon A. Lodwick
222,Dan E. Tamir
223,Naphtali David Rishe
224,Abraham Kandel
225,Yaochu Jin
226,Lipo Wang 0001
227,Zongmin Ma 0001
228,Li Yan 0001
229,Jos Luis Garca-Lapresta
230,Mario Fedrizzi
231,Hannu Nurmi
232,Slawomir Zadrozny
233,Ali M. Abbasov
234,Marek Z. Reformat
235,Shahnaz N. Shahbazova
236,Cengiz Kahraman
237,Mesut Yavuz
238,Ahmad Taher Azar
239,Sundarapandian Vaidyanathan
240,Humberto Bustince Sola
241,Francisco Herrera
242,Javier Montero
243,Basar ztaysi
244,Plamen Angelov 0001
245,Sotir Sotirov
246,Rudolf Seising
247,Robert Jeansoulin
248,Odile Papini
249,Henri Prade
250,Steven Schockaert
251,Quanmin Zhu
252,Uzay Kaymak
253,Adnan Yazici
254,Marie-Jeanne Lesot
255,Christophe Marsala
256,Jorge Casillas
257,Francisco Jos Martnez-Lpez
258,Piotr S. Szczepaniak
259,Javier Segovia
260,Lotfi A. Zadeh
261,Enric Trillas
262,Piero P. Bonissone
263,Luis Magdalena
264,Chris Cornelis
265,Glad Deschrijver
266,Mike Nachtegael
267,Yun Shi
268,Liping Liu
269,Alireza Sadeghian
270,Jerry M. Mendel
271,Hooman Tahayori
272,Giovanni Acampora
273,Vincenzo Loia
274,Chang-Shing Lee
275,Mei-Hui Wang
276,Mikael Collan
277,Vernica Sanz
278,Susanne Saminger-Platz
279,Radko Mesiar
280,Vahid Dabbaghian
281,Vijay Kumar Mago
282,Maria Ganzha
283,Lakhmi C. Jain
284,Seiki Akama
285,Aboul Ella Hassanien
286,Crina Grosan
287,Mohamed Fahmy Tolba
288,Sezi evik Onar
289,Jos Juan Pazos-Arias
290,Ana Fernndez Vilas
291,Rebeca P. Daz Redondo
292,ngelo Costa
293,Vicente Julin
294,Paulo Novais
295,Christophe Gaie
296,Mayuri A. Mehta
297,Anna Esposito
298,Gloria Bordogna
299,Dariusz Krl 0001
300,Damien Fay
301,Bogdan Gabrys
302,Angel Domingo Sappa
303,Jordi Vitri
304,Robert B. Fisher
305,Yun-Heh Chen-Burger
306,Daniela Giordano
307,Lynda Hardman
308,Fang-Pang Lin
309,Kazumi Nakamatsu
310,Roumen Kountchev
311,Eman El-Sheikh
312,Alfred Zimmermann
313,Markus Mueck
314,Vincenzo Arceri
315,Agostino Cortesi
316,Pietro Ferrara 0001
317,Martina Olliaro
318,George A. Tsihrintzis
319,Dionisios N. Sotiropoulos
320,Leslie F. Sikos
321,Kim-Kwang Raymond Choo
322,Andrzej Skowron
323,Zbigniew Suraj
324,Monica Bianchini
325,Marco Maggini
326,Rainer Schmidt 0001
327,Tai-Hoon Kim
328,Ali Ismail Awad
329,Manuel Mora
330,Jorge Marx Gmez
331,Leonardo Garrido
332,Francisco Cervantes-Prez
333,Barbara Catania
334,Antonietta Maria Esposito
335,Sumeet Dua
336,U. Rajendra Acharya
337,Prerna Dua
338,Jeng-Shyang Pan 0001
339,Hsiang-Cheh Huang
340,Yao Zhao 0001
341,Urszula Stanczyk
342,Beata Zielosko
343,Shyi-Ming Chen
344,Ivan Zelinka
345,Vclav Snsel
346,Ajith Abraham
347,Seda Yanik
348,Irem Ual Sari
349,Liana Razmerita
350,Gloria E. Phillips-Wren
351,Maria Virvou
352,Efthimios Alepis
353,Elpiniki I. Papageorgiou
354,Tokuro Matsuo
355,Kiyota Hashimoto
356,Hidekazu Iwamoto
357,Chengjun Liu
358,Jair Minoro Abe
359,Emilio Corchado
360,Juan M. Corchado
361,Grzegorz J. Nalepa
362,Joachim Baumeister
363,Van-Nam Huynh
364,Yoshiteru Nakamori
365,Hiroakira Ono
366,Jonathan Lawry
367,Vladik Kreinovich
